a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w
"20058",1,"Midnight Sun*","The gates of light are open now","",2500,"","{}",1,296,"iap_frame_arabesque.webp","iap_frame_arabesque_preview.webp","","iap_frame_arabesque_350x350.webp","","","","","",-1,0,"","under"
"29099",7,"Eliminate Yora","Equip this banner to remove Yora from the Island","",1000,"","{}",1,1584,"iap_banner_xyora.webp","iap_banner_xyora_asset.webp","","iap_banner_xyora_asset.webp","","","","","",-1,0,"",""
"4070",8,"Blue Ripple","* Exclusive Ocho Tournament prize!","",5000,"crazy8","{}",1,527,"iap_game_crazy8_blueripple.webp","iap_game_crazy8_blueripple_preview.webp","","","","","","","",1070,0,"",""
"20157",1,"Bakhoor Frame","* Exclusive Eid 2022 Prize!
","",5000,"","{}",1,1444,"iap_frame_bakhoor_2.webp","iap_frame_bakhoor_preview_2.webp","","iap_frame_bakhoor_350x350_2.webp","","","","","",-1,0,"","over"
"60200",6,"Chill Pup","Just a chilled out dog vibing to music ","",500,"","{}",0,1196,"iap_badge_chillpup.webp","iap_badge_chillpup_preview.webp","iap_badge_chillpup_54x54.webp","","","","","","",-1,0,"",""
"848",7,"Sunflower**","Brighten up the day","",1000,"","{}",1,1349,"iap_banner_sunflower.webp","iap_banner_sunflower_asset.webp","","iap_banner_sunflower_asset.webp","","","","","",-1,0,"",""
"4152",8,"S.O.S Card**","Sending out a S.O.S to the world","",2000,"crazy8","{}",1,1589,"iap_game_crazy8_sos.webp","iap_game_crazy8_sos_preview.webp","","","","","","","",1152,0,"",""
"60095",6,"Eye of Horus*","A symbol of healing and protection","",250,"","{}",1,603,"iap_badge_eyeofhorus.webp","iap_badge_eyeofhorus_preview.webp","iap_badge_eyeofhorus_54x54.webp","","","","","","",-1,0,"",""
"153",4,"Arcade","A new life is just one credit away","",2500,"","{}",0,734,"iap_arcade_item.webp","iap_arcade_preview.webp","iap_arcade_item_54x54.webp","iap_arcade_asset.png","#FE734C","#FEE560","#FDBF34","#38EB8F","",-1,0,"",""
"823",7,"Santa's Van**","Not all heroes drive a one horse open sleigh","",1000,"","{}",1,89,"iap_banner_santavan.webp","iap_banner_santavan_asset.webp","","iap_banner_santavan_asset.webp","","","","","",-1,0,"",""
"853",7,"Skater Grl","She said see ya later boi","",2500,"","{}",0,361,"iap_banner_skater2.webp","iap_banner_skater_anim.webp","","iap_banner_skater_anim.webp","","","","","",-1,0,"",""
"20148",1,"Aquarider Frame**","A spirit of the serene\, a free soul bound to the oceans","",3000,"","{}",1,1299,"iap_frame_aquarider.webp","iap_frame_aquarider_preview.webp","","iap_frame_aquarider_350x350.webp","","","","","",-1,0,"","over"
"60171",6,"22/2/22**","Expect great things twosday","",444,"","{}",1,1028,"iap_badge_2222.webp","iap_badge_2222_preview.webp","iap_badge_2222_54x54.webp","","","","","","",-1,0,"",""
"602",6,"Trans Badge","A trans symbol collectable name badge","",100,"","{}",0,323,"iap_badge_trans.webp","iap_badge_trans_preview.webp","iap_badge_trans_54x54.webp","","","","","","",-1,0,"",""
"887",7,"New Beginnings*","2021 has just got to be better","",2500,"","{}",1,184,"iap_banner_newbeginnings.webp","iap_banner_newbeginnings_anim.webp","","iap_banner_newbeginnings_anim.webp","","","","","",-1,0,"",""
"2524",8,"Pool Party Table","Good times & tan lines","",3000,"pool","{}",0,1651,"iap_game_pool_poolparty.webp","iap_game_pool_poolparty_preview.webp","","","","","","","",10024,0,"",""
"8004",8,"Lightning","Always strike twice with this Lightning Ball in Bowling","",1500,"bowling","{}",0,1281,"iap_game_bowling_ball_lightning.webp","iap_game_bowling_ball_lightning_preview.webp","","","","","","","",1005,0,"",""
"114",4,"Avocado Toast","Go old school! Turn your chat bubbles 8-Bit","",500,"","{}",0,1031,"iap_8bit_item.webp","iap_8bit_preview.webp","iap_8bit_item_54x54.webp","iap_8bit_asset.png","#FFFFFF","#FFFFFF","#FFD226","#BFFF22","",-1,0,"",""
"2082",8,"Coral Reef^","Jump in and take a swim (special sound fx)","",1500,"pool","{}",0,1677,"iap_game_pool_coral.webp","iap_game_pool_coral_preview.webp","","","","","","","",1082,0,"",""
"2176",8,"Artifact: Atlantean Blade","* Exclusive Tournament Prize - Atlantean Artifact #3","",6000,"pool","{}",1,1710,"iap_game_pool_atlanteanblade.webp","iap_game_pool_atlanteanblade_preview.webp","","","","","","","",1176,1,"",""
"3000",8,"Iron Wardens","+1 to defending ranks","",2750,"legions","{}",0,522,"iap_game_legions_warden.webp","iap_game_legions_warden_preview.webp","","","","","","","",1000,0,"",""
"20033",1,"Xmas Wreath**","Welcome in the Xmas spirit with this frame","",1000,"","{}",1,183,"iap_frame_xmaswreath.webp","iap_frame_xmaswreath_preview.webp","","iap_frame_xmaswreath_350x350.webp","","","","","",-1,0,"","over"
"60214",6,"S1 Gold Badge","* Exclusive reward for getting to Gold in Season 1 Ranked!
","",999999,"","{}",1,1274,"iap_badge_gold_rankeds1.webp","iap_badge_gold_rankeds1_preview.webp","iap_badge_gold_rankeds1_54x54.webp","","","","","","",-1,0,"",""
"937",7,"Pirates vs Kraken","* Exclusive Tournament prize","",2000,"","{}",1,514,"iap_banner_pirateskraken.webp","iap_banner_pirateskraken_asset.webp","","iap_banner_pirateskraken_asset.webp","","","","","",-1,0,"",""
"60156",6,"Significant Otter**","Sea otters hold hands while they're sleeping so they don't drift apart","",1000,"","{}",1,987,"iap_badge_otter.webp","iap_badge_otter_preview.webp","iap_badge_otter_54x54.webp","","","","","","",-1,0,"",""
"730",6,"Polar Bear**","Buy the world a hot chocolate","",500,"","{}",1,210,"iap_badge_polarbear.webp","iap_badge_polarbear_preview.webp","iap_badge_polarbear_54x54.webp","","","","","","",-1,0,"",""
"4125",8,"Silly Cats","Silly cats and their silly antics","",2000,"crazy8","{}",0,1173,"iap_game_crazy8_sillycat.webp","iap_game_crazy8_sillycat_preview.webp","","","","","","","",1125,0,"",""
"7009",8,"Liam the Leprechaun*","Liam likes limericks from Leitrim and this sticker in Cup Pong","",500,"cuppong","{}",1,229,"iap_game_cuppong_leprechaun.webp","iap_game_cuppong_leprechaun_preview.webp","","","","","","","",1009,0,"",""
"20040",1,"3D Glasses","Necessary for 5D Chess","",500,"","{}",0,369,"iap_frame_3dglasses.webp","iap_frame_3dglasses_preview.webp","","iap_frame_3dglasses_350x350.webp","","","","","",-1,0,"","over"
"20198",1,"Atlantis Monarch","* Exclusive Atlantis 2022 Prize!","",6000,"","{}",1,1734,"iap_frame_atlantismonarch.webp","iap_frame_atlantismonarch_preview.webp","","iap_frame_atlantismonarch_350x350.webp","","","","","",-1,1,"","over"
"177",4,"Spain Chat Bubble*","¡Ole\, ole y ole!","",2500,"","{}",1,655,"iap_spain_item.webp","iap_spain_preview.webp","iap_spain_item_54x54.webp","iap_spain_asset.png","#FFB94E","#FFD28D","#F6001A","#39F3CE","",-1,0,"",""
"723",6,"Golf Club","* Exclusive Tournament prize","",1000,"","{}",1,98,"iap_badge_golfclub.webp","iap_badge_golfclub_preview.webp","iap_badge_golfclub_54x54.webp","","","","","","",-1,0,"",""
"1057",8,"New Moon**","Play as the New Moon in Table Soccer","",4000,"tablesoccer","{}",1,1394,"iap_game_tablesoccer_newmoon.webp","iap_game_tablesoccer_newmoon_preview.webp","","","","","","","",57,0,"",""
"4012",8,"Neon Nights","Light up the night in Ocho","",2500,"crazy8","{}",0,817,"iap_game_crazy8_neonnights.webp","iap_game_crazy8_neonnights_preview.webp","","","","","","","",1012,0,"",""
"2037",8,"Icarus","Fly high with the mythical wings of Icarus","",5000,"pool","{}",0,427,"iap_game_pool_icarus.webp","iap_game_pool_icarus_preview.webp","","","","","","","",1037,0,"",""
"161",4,"Caveman","* Exclusive Tournament prize","",3000,"","{}",1,470,"iap_caveman_item.webp","iap_caveman_preview.webp","iap_caveman_item_54x54.webp","iap_caveman_asset.png","#292219","#5D5345","#FBF6ED","#7F3B01","",-1,0,"",""
"643",6,"Jolly Santa**","Santa says you're on the good list","",500,"","{}",1,123,"iap_badge_santa.webp","iap_badge_santa_preview.webp","iap_badge_santa_54x54.webp","","","","","","",-1,0,"",""
"2161",8,"Multiverse Key","* Exclusive Sci-fi 2022 Prize!","",10000,"pool","{}",1,1531,"iap_game_pool_multiversekey.webp","iap_game_pool_multiversekey_preview.webp","","","","","","","",1161,0,"",""
"4067",8,"Pirate Booty","To the victor goes the spoils","",1000,"crazy8","{}",0,860,"iap_game_crazy8_piratebooty.webp","iap_game_crazy8_piratebooty_preview.webp","","","","","","","",1067,0,"",""
"20187",1,"Watermelon Frame","Enjoy a fresh watermelon on a warm summer day","",1000,"","{}",0,1659,"iap_frame_watermelon.webp","iap_frame_watermelon_preview.webp","","iap_frame_watermelon_350x350.webp","","","","","",-1,0,"","over"
"60048",6,"Croissant*","Un croissant au beurre s’il vous plait!","",250,"","{}",1,491,"iap_badge_croissant.webp","iap_badge_croissant_preview.webp","iap_badge_croissant_54x54.webp","","","","","","",-1,0,"",""
"60066",6,"Red vs Blue","* Exclusive Tournament prize","",1500,"","{}",1,524,"iap_badge_redvsblue.webp","iap_badge_redvsblue_preview.webp","iap_badge_redvsblue_54x54.webp","","","","","","",-1,0,"",""
"615",6,"Mended Heart","Love hurts. Start the healing together","",250,"","{}",0,932,"iap_badge_mendedheart.webp","iap_badge_mendedheart_preview.webp","iap_badge_mendedheart_54x54.webp","","","","","","",-1,0,"",""
"670",6,"Cup Noodles*","Ready to eat\, just add water","",500,"","{}",1,25,"iap_badge_cupnoodles.webp","iap_badge_cupnoodles_preview.webp","iap_badge_cupnoodles_54x54.webp","","","","","","",-1,0,"",""
"820",7,"Autumn Moon","My spirit animal is here. Damn nature\, you scary...","",1500,"","{}",0,1276,"iap_banner_autumnmoon.webp","iap_banner_autumnmoon_asset.webp","","iap_banner_autumnmoon_asset.webp","","","","","",-1,0,"",""
"7013",8,"Plato's 5th Sticker**","Party-ready cake sticker for Plato's 5th birthday","",500,"cuppong","{}",1,759,"iap_game_cuppong_plato5th.webp","iap_game_cuppong_plato5th_preview.webp","","","","","","","",1013,0,"",""
"60252",6,"Yora Badge","After the economic crisis\, Yora devoted themselves to spirituality\, selling “spiritual” water on street corners

Dislikes: Jason","",500,"","{}",1,1598,"iap_badge_yora.webp","iap_badge_yora_preview.webp","iap_badge_yora_54x54.webp","","","","","","",-1,0,"",""
"910",7,"Life of the Party*","Vamos de reventon\, cuates","",1000,"","{}",1,276,"iap_banner_pinataparty.webp","iap_banner_pinataparty_asset.webp","","iap_banner_pinataparty_asset.webp","","","","","",-1,0,"",""
"2137",8,"Pythia's Staff","A sacred staff Pythia used to deliver her prophecies (special sound fx)","",5000,"pool","{}",0,1084,"iap_game_pool_pythiastaff.webp","iap_game_pool_pythiastaff_preview_2.webp","","","","","","","",1137,0,"",""
"60146",6,"Jaws^","Just when you thought it was safe to go back in the water
","",250,"","{}",0,1674,"iap_badge_jaws.webp","iap_badge_jaws_preview.webp","iap_badge_jaws_54x54.webp","","","","","","",-1,0,"",""
"60246",6,"Poisoned Apple**","One bite and all your dreams will come true","",500,"","{}",1,1554,"iap_badge_poisonedapple.webp","iap_badge_poisonedapple_preview.webp","iap_badge_poisonedapple_54x54.webp","","","","","","",-1,0,"",""
"60225",6,"Ball Cactus**","Things may be rough right now\, but you're still blooming","",500,"","{}",1,1390,"iap_badge_ballcactus.webp","iap_badge_ballcactus_preview.webp","iap_badge_ballcactus_54x54.webp","","","","","","",-1,0,"",""
"5100",10,"Basketball Bundle","Includes 9 Basketballs! ","",5000,"","{}",0,546,"iap_game_basketball_bundle1.webp","iap_game_basketball_bundle1_preview.webp","","","","","","","",-1,0,"",""
"8036",8,"Aquarider Ball**","Forms a cresting wave that engulfs foes","",4000,"bowling","{}",1,1312,"iap_game_bowling_ball_aquarider.webp","iap_game_bowling_ball_aquarider_preview.webp","","","","","","","",1036,0,"",""
"20106",1,"Plato 5th Party Hat**","It's Plato's 5th birthday. Put on your party hat!","",5000,"","{}",1,753,"iap_frame_plato5thparty.webp","iap_frame_plato5thparty_preview.webp","","iap_frame_plato5thparty_350x350.webp","","","","","",-1,0,"","over"
"60196",6,"Cat FTW","* Exclusive Tournament Prize","",1000,"","{}",1,1200,"iap_badge_catftw.webp","iap_badge_catftw_preview.webp","iap_badge_catftw_54x54.webp","","","","","","",-1,0,"",""
"60112",6,"Cubist","* Exclusive Tournament prize","",1500,"","{}",1,658,"iap_badge_cubist.webp","iap_badge_cubist_preview.webp","iap_badge_cubist_54x54.webp","","","","","","",-1,0,"",""
"810",7,"Colossus**"," A best friend is all you need\, especially if your friend is a giant robot","",1000,"","{}",1,1425,"iap_banner_colossus.webp","iap_banner_colossus_asset.webp","","iap_banner_colossus_asset.webp","","","","","",-1,0,"",""
"841",7,"Metaverse","Step into the rift","",1500,"","{}",0,831,"iap_banner_metaverse.webp","iap_banner_metaverse_asset.webp","","iap_banner_metaverse_asset.webp","","","","","",-1,0,"",""
"1501",8,"Plato Coliseum**","Battle it out in this spectacular amphitheater","",6000,"tablesoccer","{}",1,764,"iap_game_tablesoccer_platocoliseum.webp","iap_game_tablesoccer_platocoliseum_preview.webp","","","","","","","",10001,0,"",""
"20142",1,"Plato 95 Frame**","How do you want to CRASH today?","",5000,"","{}",1,1230,"iap_frame_plato95.webp","iap_frame_plato95_preview.webp","","iap_frame_plato95_350x350.webp","","","","","",-1,0,"","over"
"916",7,"Astro Angel","* Exclusive Tournament prize","",1000,"","{}",1,209,"iap_banner_astroangel.webp","iap_banner_astroangel_asset.webp","","iap_banner_astroangel_asset.webp","","","","","",-1,0,"",""
"20152",1,"Cottage Frame**","Life is better at the cabin","",3000,"","{}",1,1399,"iap_frame_cottagelife.webp","iap_frame_cottagelife_preview.webp","","iap_frame_cottagelife_350x350.webp","","","","","",-1,0,"","over"
"191",4,"2022 Winter**","Here comes 2022 with snow and fireworks outside","",5000,"","{}",1,829,"iap_2022fireworks_item.webp","iap_2022fireworks_preview.webp","iap_2022fireworks_item_54x54.webp","iap_2022fireworks_asset_4.png","#ffffff","#d3e8ff","#ffcf00","#6be766","",-1,0,"",""
"674",6,"Diamond Badge","Fame is fleeting\, diamonds are forever","",5000,"","{}",0,945,"iap_badge_diamond.webp","iap_badge_diamond_preview.webp","iap_badge_diamond_54x54.webp","","","","","","",-1,0,"",""
"20189",1,"Starfish Frame","Make a wish upon a starfish","",1000,"","{}",0,1658,"iap_frame_starfish.webp","iap_frame_starfish_preview.webp","","iap_frame_starfish_350x350.webp","","","","","",-1,0,"","over"
"2504",8,"Lo-fi Table","Are you ready to relax and unwind with some chill out music?","",6000,"pool","{}",0,1056,"iap_game_pool_lofi_2.webp","iap_game_pool_lofi_preview.webp","","","","","","","",10004,0,"",""
"2521",8,"Paradise Island","Stranded on a tropical paradise\, how would you survive?","",4000,"pool","{}",0,1585,"iap_game_pool_paradiseisland_2.webp","iap_game_pool_paradiseisland_preview_2.webp","","","","","","","",10021,0,"",""
"20123",1,"I'm Hitched","Congratulations! We're so happy for you!","",100,"","{}",0,1022,"iap_frame_hitched.webp","iap_frame_hitched_preview.webp","","iap_frame_hitched_350x350.webp","","","","","",-1,0,"","over"
"60132",6,"Xmas Tree Cat**","I can haz Christmas tree? ","",700,"","{}",1,775,"iap_badge_treecat.webp","iap_badge_treecat_preview.webp","iap_badge_treecat_54x54.webp","","","","","","",-1,0,"",""
"171",4,"Vainglory","Pride in what matters most","",7500,"","{}",0,574,"iap_diamondband2_item.webp","iap_diamondband2_preview.webp","iap_diamondband2_item_54x54.webp","iap_diamondband2_asset.png","#FFFFFF","#A36221","#D07214","#FEF9D3","",-1,0,"",""
"738",6,"Love Tattoo**","For Mom","",1000,"","{}",1,955,"iap_badge_lovetattoo.webp","iap_badge_lovetattoo_preview.webp","iap_badge_lovetattoo_54x54.webp","","","","","","",-1,0,"",""
"20166",1,"Skull Grappler**","Terror from the depths of space","",3000,"","{}",1,1491,"iap_frame_facehugger.webp","iap_frame_facehugger_preview.webp","","iap_frame_facehugger_350x350.webp","","","","","",-1,0,"","over"
"29092",7,"Crash Landed","* Exclusive Tournament Prize!","",4000,"","{}",1,1605,"iap_banner_crashlanded.webp","iap_banner_crashlanded_asset.webp","","iap_banner_crashlanded_asset.webp","","","","","",-1,0,"",""
"137",4,"Love Letter**","From Plato with love","",5000,"","{}",1,930,"iap_loveletter_item.webp","iap_loveletter_preview.webp","iap_loveletter_item_54x54.webp","iap_loveletter_asset_2.png","#FC263E","#8E3531","#AE4B37","#D9182D","",-1,0,"",""
"2094",8,"Diamonds Cue","Shine bright like a diamond (glow + special sound fx)","",15000,"pool","{}",0,968,"iap_game_pool_diamonds.webp","iap_game_pool_diamonds_preview.webp","","","","","","","",1094,0,"",""
"522",10,"Stranded 2022 Bundle*","Instantly unlocks 7 Badges and 7 Banners to participate in the Stranded 2022 event","",2000,"","{}",1,1577,"iap_bundle_stranded2022.webp","iap_bundle_stranded2022_preview.webp","","","","","","","",-1,0,"",""
"827",7,"Resolutions","The future is bright","",1500,"","{}",0,1061,"iap_banner_resolutions.webp","iap_banner_resolutions_asset.webp","","iap_banner_resolutions_asset.webp","","","","","",-1,0,"",""
"19027",4,"Mega Soaker**","Drench your friends with a steady stream of powerful water","",5000,"","{}",1,1342,"iap_megasoaker_item.webp","iap_megasoaker_preview_2.webp","iap_megasoaker_item_54x54.webp","iap_megasoaker_asset.png","#9227ba","#5472af","#5472af","#ffffff","",-1,0,"",""
"29021",7,"Lost","* Exclusive Tournament Prize","",4000,"","{}",1,1217,"iap_banner_lostcat.webp","iap_banner_lostcat_asset.webp","","iap_banner_lostcat_asset.webp","","","","","",-1,0,"",""
"760",6,"Rosie","Rivets beware","",250,"","{}",0,342,"iap_badge_rosie.webp","iap_badge_rosie_preview.webp","iap_badge_rosie_54x54.webp","","","","","","",-1,0,"",""
"877",7,"Banshee*","It's all in the eyes","",2500,"","{}",1,156,"iap_banner_banshee.webp","iap_banner_banshee_anim.webp","","iap_banner_banshee_anim.webp","","","","","",-1,0,"",""
"919",7,"Ping","Gaming since 1972","",1500,"","{}",0,440,"iap_banner_ping.webp","iap_banner_ping_anim.webp","","iap_banner_ping_anim.webp","","","","","",-1,0,"",""
"20074",1,"Rubber Duck Frame","* Exclusive Tournament prize","",4000,"","{}",1,58,"iap_frame_rubberduck.webp","iap_frame_rubberduck_preview.webp","","iap_frame_rubberduck_350x350.webp","","","","","",-1,0,"","over"
"1026",8,"Reaper","Play as the Reaper in Table Soccer (special sound fx)","",2500,"tablesoccer","{}",0,430,"iap_game_tablesoccer_reaper.webp","iap_game_tablesoccer_reaper_preview.webp","","","","","","","",26,0,"",""
"60069",6,"Quetzal Crown*","Made from solid gold and 400 tail feathers","",1000,"","{}",1,537,"iap_badge_quetzalcrown.webp","iap_badge_quetzalcrown_preview.webp","iap_badge_quetzalcrown_54x54.webp","","","","","","",-1,0,"",""
"60218",6,"Flamewalker Badge**","Fire Elementalist","",500,"","{}",1,1287,"iap_badge_flamewalker.webp","iap_badge_flamewalker_preview.webp","iap_badge_flamewalker_54x54.webp","","","","","","",-1,0,"",""
"189",4,"Reindeer Bubble**","I <3 Santa","",10000,"","{}",1,795,"iap_reindeer_item.webp","iap_reindeer_preview.webp","iap_reindeer_item_54x54.webp","iap_reindeer_asset.png","#fece7c","#fae6c3","#791314","#44a748","",-1,0,"",""
"4021",8,"Festive Xmas**","The joy of the holidays!","",2000,"crazy8","{}",1,198,"iap_game_crazy8_festivexmas.png","iap_game_crazy8_festivexmas_preview.png","","","","","","","",1021,0,"",""
"635",6,"Maneki Neko*","Fortune comes your way with this good luck charm","",500,"","{}",1,1167,"iap_badge_manekineko.webp","iap_badge_manekineko_preview.webp","iap_badge_manekineko_54x54.webp","","","","","","",-1,0,"",""
"60137",6,"Celebrate Together","* Exclusive Tournament prize","",1500,"","{}",1,849,"iap_badge_newyeartogether.webp","iap_badge_newyeartogether_preview.webp","iap_badge_newyeartogether_54x54.webp","","","","","","",-1,0,"",""
"2073",8,"Rubber Ducky Cue","* Exclusive Tournament prize!","",5000,"pool","{}",1,44,"iap_game_pool_rubberducky.webp","iap_game_pool_rubberducky_preview.webp","","","","","","","",1073,0,"",""
"2099",8,"King Tut's Mummy*","Harness the curse of the Pharoahs (special sound fx)","",3000,"pool","{}",1,614,"iap_game_pool_kingtut.webp","iap_game_pool_kingtut_preview.webp","","","","","","","",1099,0,"",""
"20113",1,"Lucky Girl","* Exclusive Tournament prize","",5000,"","{}",1,901,"iap_frame_luckygirl.webp","iap_frame_luckygirl_preview.webp","","iap_frame_luckygirl_350x350.webp","","","","","",-1,0,"","over"
"60273",6,"Eye of Asteros","The eye is said to give its bearer the ability to see all that transpires around them","",250,"","{}",0,1702,"iap_badge_eyeofasteros.webp","iap_badge_eyeofasteros_preview.webp","iap_badge_eyeofasteros_54x54.webp","","","","","","",-1,1,"",""
"2112",8,"Harvest Stick*","The fruit of the fall's labor","",6000,"pool","{}",1,739,"iap_game_pool_harvest.webp","iap_game_pool_harvest_preview.webp","","","","","","","",1112,0,"",""
"9004",8,"Pyrokun","A heavy hitting fire monster who also collects tiles from the board

*More details in the Monsterpedia","",2750,"match3battle","{}",0,749,"iap_game_match3battle_pyrokun_1.webp","iap_game_match3battle_pyrokun_preview_1.webp","","","","","","","",601,0,"",""
"20174",1,"Cinderella Frame","* Exclusive Tournament Prize!","",5000,"","{}",1,1558,"iap_frame_cinderella.webp","iap_frame_cinderella_preview.webp","","iap_frame_cinderella_350x350.webp","","","","","",-1,0,"","over"
"762",6,"Red Card","* Exclusive Table Soccer Tournament prize","",1000,"","{}",1,254,"iap_badge_redcard.webp","iap_badge_redcard_preview.webp","iap_badge_redcard_54x54.webp","","","","","","",-1,0,"",""
"5010",8,"Snow B-ball"," * Exclusive Basketball Tournament prize!","",5000,"basketball","{}",1,807,"iap_game_basketball_snowball.webp","iap_game_basketball_snowball_preview.webp","","","","","","","",1010,0,"",""
"60052",6,"Empanadas","* Exclusive Tournament prize","",1000,"","{}",1,505,"iap_badge_empanadas.webp","iap_badge_empanadas_preview.webp","iap_badge_empanadas_54x54.webp","","","","","","",-1,0,"",""
"629",6,"Clive the Demon*","Meet Clive the Happy Demon. He just wants to play...","",250,"","{}",1,130,"iap_badge_happydemon.webp","iap_badge_happydemon_preview.webp","iap_badge_happydemon_54x54.webp","","","","","","",-1,0,"",""
"20066",1,"New Wave Frame","* Exclusive Plox Tournament prize","",4000,"","{}",1,251,"iap_frame_newwave.webp","iap_frame_newwave_preview.webp","","iap_frame_newwave_350x350.webp","","","","","",-1,0,"","over"
"2084",8,"Soap Bubbles","Splish\, splash\, bubblebath (special sound fx)","",1000,"pool","{}",0,577,"iap_game_pool_soap.webp","iap_game_pool_soap_preview.webp","","","","","","","",1084,0,"",""
"19007",4,"Crystal Ball Bubble","Look into the crystal ball. What will your future look like?","",2500,"","{}",0,1115,"iap_crystalball_item.webp","iap_crystalball_preview.webp","iap_crystalball_item_54x54.webp","iap_crystalball_asset.png","#ffffff","#f5d18c","#f3c161","#8598ec","",-1,0,"",""
"60039",6,"American Shield*","These colors don't run","",11776,"","{}",1,473,"iap_badge_americanshield.webp","iap_badge_americanshield_preview.webp","iap_badge_americanshield_54x54.webp","","","","","","",-1,0,"",""
"60090",6,"Armadillo","* Exclusive Tournament prize","",1500,"","{}",1,597,"iap_badge_armadillo.webp","iap_badge_armadillo_preview.webp","iap_badge_armadillo_54x54.webp","","","","","","",-1,0,"",""
"710",6,"The Finger*","We'll let you guess which one","",500,"","{}",1,169,"iap_badge_finger.webp","iap_badge_finger_preview.webp","iap_badge_finger_54x54.webp","","","","","","",-1,0,"",""
"757",6,"Arachnid","* Exclusive Tournament prize","",1000,"","{}",1,164,"iap_badge_arachnid.webp","iap_badge_arachnid_preview.webp","iap_badge_arachnid_54x54.webp","","","","","","",-1,0,"",""
"958",7,"Rlyeh Rising","* Exclusive Tournament prize","",2500,"","{}",1,690,"iap_banner_rlyehrising.webp","iap_banner_rlyehrising_asset.webp","","iap_banner_rlyehrising_asset.webp","","","","","",-1,0,"",""
"2066",8,"Ice Cream*","We all scream (special sound fx)","",4000,"pool","{}",1,12,"iap_game_pool_icecream.webp","iap_game_pool_icecream_preview.webp","","","","","","","",1066,0,"",""
"60130",6,"Kitty Present**","Includes a present with kitten inside","",500,"","{}",1,777,"iap_badge_kittypresent.webp","iap_badge_kittypresent_preview.webp","iap_badge_kittypresent_54x54.webp","","","","","","",-1,0,"",""
"19038",4,"Eid Bubble**","Give your text a festive touch this Ramadan","",3000,"","{}",1,1382,"iap_eid_item.webp","iap_eid_preview.webp","iap_eid_item_54x54.webp","iap_eid_asset.png","#ffffff","#fce33d","#fce33d","#ff9d3c","",-1,0,"",""
"20051",1,"Panda","Panda see\, Panda do","",500,"","{}",0,876,"iap_frame_panda.webp","iap_frame_panda_preview.webp","","iap_frame_panda_350x350.webp","","","","","",-1,0,"","over"
"20115",1,"Lion Head**","Do the Lion Dance to chase away evil spirits","",7000,"","{}",1,905,"iap_frame_liondance_2.webp","iap_frame_liondance_preview_2.webp","","iap_frame_liondance_350x350.webp","","","","","",-1,0,"","over"
"4100",8,"Pirate Tattoo","For the love of the open sea","",2000,"crazy8","{}",0,864,"iap_game_crazy8_piratetattoo.webp","iap_game_crazy8_piratetattoo_preview.webp","","","","","","","",1100,0,"",""
"882",7,"Twilight Warrior**","He stands ready and on guard until winter calls him home","",3000,"","{}",1,1497,"iap_banner_twilightwarrior.webp","iap_banner_twilightwarrior_asset.webp","","iap_banner_twilightwarrior_asset.webp","","","","","",-1,0,"",""
"11002",8,"Sushi Theme","Sip on Japanese sake as you watch the sushi go by","",2500,"ludo","{}",0,810,"iap_game_ludo_sushi.webp","iap_game_ludo_sushi_preview.webp","","","","","","","",1002,0,"",""
"19061",4,"Surfing Bubble","The best waves of your life is still out there","",3500,"","{}",0,1638,"iap_surfing_item.webp","iap_surfing_preview.webp","iap_surfing_item_54x54.webp","iap_surfing_asset_2.png","#0e2355","#4ec7c0","#8a8eb2","#4ec7c0","",-1,0,"",""
"526",10,"Table Soccer Classic Starter Kit","Instantly unlocks 3 Table Soccer Teams (Nine-tailed Fox\, Dragon Fury\, Anubis) and 1 Neon Grid Stadium","",5250,"","{}",0,1671,"iap_bundle_tablesoccerstarter_classic.webp","iap_bundle_tablesoccerstarter_classic_preview.webp","","","","","","","",-1,0,"",""
"744",6,"Heart Lock**","This love is on lock","",1000,"","{}",1,958,"iap_badge_heartlock.webp","iap_badge_heartlock_preview.webp","iap_badge_heartlock_54x54.webp","","","","","","",-1,0,"",""
"892",7,"Sunrise Heart**","It's a new day\, let's find love","",5000,"","{}",1,964,"iap_banner_sunriseheart.webp","iap_banner_sunriseheart_anim.webp","","iap_banner_sunriseheart_anim.webp","","","","","",-1,0,"",""
"29100",7,"Eliminate Simone","Equip this banner to remove Simone from the Island","",1000,"","{}",1,1582,"iap_banner_xsimone.webp","iap_banner_xsimone_asset.webp","","iap_banner_xsimone_asset.webp","","","","","",-1,0,"",""
"994",7,"Chocolate Rain","* Exclusive Tournament prize","",3500,"","{}",1,1014,"iap_banner_chocolate.webp","iap_banner_chocolate_asset.webp","","iap_banner_chocolate_asset.webp","","","","","",-1,0,"",""
"2096",8,"Malaysia Cue*","Malaysia boleh! (special sound fx)","",2500,"pool","{}",1,592,"iap_game_pool_malaysia.webp","iap_game_pool_malaysia_preview.webp","","","","","","","",1096,0,"",""
"2126",8,"Lunar Tiger Cue","This cue will bring success\, bravery and good fortune to those who wield it  (special sound fx)","",3000,"pool","{}",0,899,"iap_game_pool_lnytiger_2.webp","iap_game_pool_lnytiger_preview.webp","","","","","","","",1126,0,"",""
